,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Newfoundland and Labrador,Terre-Neuve-et-Labrador,501,629,405,467,826,1269,991,546,540,349
Prince Edward Island,Île-du-Prince-Édouard,270,338,379,389,476,390,378,396,491,344
Nova Scotia,Nouvelle-Écosse,1076,1351,1301,1462,1412,1220,959,694,706,617
New Brunswick,Nouveau-Brunswick,850,891,805,972,1248,1304,1261,952,863,827
Quebec,Québec,7195,8051,8045,8135,8524,8941,8967,7377,7629,7181
Ontario,Ontario,35078,31191,28868,22876,23279,23251,19672,14368,15778,13519
Manitoba,Manitoba,2242,1954,1107,741,1065,1431,1234,855,757,679
Saskatchewan,Saskatchewan,1787,2443,1873,1432,2198,3780,3485,1726,1025,640
Alberta,Alberta,35512,38283,30072,28075,29697,40786,35556,18028,10752,8713
British Columbia,Colombie-Britannique,26352,28317,20584,15878,18570,22381,21555,14915,11706,13115
Northwest Territories,Territoires du Nord-Ouest,119,120,108,96,111,142,123,54,0,29
Nunavut,Nunavut,8,21,22,27,27,28,22,60,0,22
Yukon,Yukon,71,44,41,27,33,56,55,51,48,45
Not stated,Non déclaré,2178,2305,2203,7157,4409,2941,1277,55,713,206
