"9.1. Temporary Foreign Worker Program work permit holders who became permanent residents by program and landing year, 2008 to 2017",,,,,,,,,,,
"9.1. Titulaires de permis de travail du Programme des travailleurs étrangers temporaires qui sont devenus résidents permanents, selon le programme d'immigration et l’année d’admission, de 2008 à 2017",,,,,,,,,,,
,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Agricultural Workers,Agriculteurs,204,243,265,291,223,176,263,283,369,294
Live-In Caregivers,Aides familiaux résidants,335,304,333,244,164,132,215,330,523,610
Other Temporary Foreign Workers with LMIA,Autres titulaires de permis de travail du Programme des travailleurs étrangers temporaires,5681,6990,7061,5688,7130,6243,9303,8389,6067,4953
Other higher-skilled,Autres travailleurs spécialisés,4799,5762,5447,4421,5567,4425,6448,6268,4982,4238
Other lower-skilled,Autres travailleurs peu spécialisés,234,495,852,542,693,657,1068,655,341,133
Other occupations(1),Autres occupations(1),648,733,762,725,870,1161,1787,1466,744,582
Total,Total des personnes uniques,6220,7537,7659,6223,7517,6551,9781,9002,6959,5857
,,,,,,,,,,,
1. Includes permit holders who hold permits with a not stated occupation and permits with an IRCC synthetic occupation that is not included in ESDC’s National Occupational Classification.,,,,,,,,,,,
1. Comprend les titulaires de permis dont le permis n’indique pas la profession ou indique une profession synthétique d'IRCC qui ne figure pas dans la Classification nationale des professions d’EDSC.,,,,,,,,,,,
